"Anno di Riferimento";"Codice Voce Contabile";"Descrizione Voce Contabile";"Importo Totale";"Data Aggiornamento";
"2008";"A01000";"A.1)  Contributi in c/esercizio";99913901000.00;"06/12/2011";
"2008";"A01005";"A.1.A)  Contributi da Regione e Prov. Aut. per quota F.S. regionale";98376832000.00;"06/12/2011";
"2008";"A01010";"A.1.A.1)  da Regione e Prov. Aut. per quota F.S. regionale indistinto";96629037000.00;"06/12/2011";
"2008";"A01015";"A.1.A.2)  da Regione e Prov. Aut. per quota F.S. vincolato";1747795000.00;"06/12/2011";
"2008";"A01020";"A.1.B)  Contributi c/esercizio da enti pubblici  (EXTRA FONDO)";1483085000.00;"06/12/2011";
"2008";"A01025";"A.1.B.1)  da enti pubblici (extra fondo) vincolati";764878000.00;"06/12/2011";
"2008";"A01030";"A.1.B.1.1)  Contributi da Regione (extra fondo) vincolati";451099000.00;"06/12/2011";
"2008";"A01035";"A.1.B.1.2)  Contributi da altri enti pubblici (extra fondo) vincolati";145508000.00;"06/12/2011";
"2008";"A01040";"A.1.B.1.3)  Contributi da Asl/Ao/Irccs/Policlinici  (extra fondo) vincolati";276000.00;"14/07/2011";
"2008";"A01045";"A.1.B.1.4)  Contributi in conto esercizio per ricerca corrente";135086000.00;"15/02/2010";
"2008";"A01050";"A.1.B.1.5)  Contributi in conto esercizio per ricerca finalizzata";32909000.00;"15/02/2010";
"2008";"A01055";"A.1.B.2)  da enti pubblici (extra fondo) - Altro";718207000.00;"06/12/2011";
"2008";"A01060";"A.1.B.2.1)  Contributi da Regione (extra fondo)  - Altro";681520000.00;"14/07/2011";
"2008";"A01065";"A.1.B.2.2)  Contributi da altri enti pubblici (extra fondo) - Altro";36687000.00;"06/12/2011";
"2008";"A01075";"A.1.C)  Contributi c/esercizio da enti privati";53984000.00;"06/12/2011";
"2008";"A02000";"A.2)   Proventi e ricavi diversi";5571951000.00;"06/12/2011";
"2008";"A02005";"A.2.A)  Ricavi per prestazioni sanitarie e sociosanitarie a rilevanza sanitaria";5262665000.00;"06/12/2011";
"2008";"A02010";"A.2.A.1)  Ricavi per prestazioni sanitarie e sociosanitarie erogate a soggetti pubblici";2426668000.00;"06/12/2011";
"2008";"A02015";"A.2.A.1.1)  Ricavi per prestaz. sanitarie  e sociosanitarie erogate ad  ASL, A.O., IRCCS e Policlinici della Regione";9148000.00;"14/07/2011";
"2008";"A02020";"A.2.A.1.1.A) Prestazioni di ricovero";17000.00;"30/06/2009";
"2008";"A02025";"A.2.A.1.1.B) Prestazioni di specialistica ambulatoriale";189000.00;"14/07/2011";
"2008";"A02030";"A.2.A.1.1.C) Prestazioni di psichiatria residenziale e semiresidenziale";4809000.00;"13/08/2009";
"2008";"A02035";"A.2.A.1.1.D) Prestazioni di File F";2920000.00;"14/07/2011";
"2008";"A02040";"A.2.A.1.1.E) Altre prestazioni sanitarie e sociosanitarie";1213000.00;"14/07/2011";
"2008";"A02065";"A.2.A.1.1.E.5) Altre prestazioni sanitarie e socio-sanitarie";1213000.00;"14/07/2011";
"2008";"A02070";"A.2.A.1.2)   Ricavi per prestaz. sanitarie  e sociosanitarie  erogate ad altri soggetti pubblici";113871000.00;"06/12/2011";
"2008";"A02075";"A.2.A.1.3)   Ricavi per prestaz. sanitarie e sociosanitarie erogate a soggetti pubblici extra Regione";2303649000.00;"06/12/2011";
"2008";"A02080";"A.2.A.1.3.A) Prestazioni di ricovero";1744167000.00;"06/12/2011";
"2008";"A02085";"A.2.A.1.3.B) Prestazioni ambulatoriali";275659000.00;"06/12/2011";
"2008";"A02090";"A.2.A.1.3.C) Prestazioni di psichiatria non soggetta a compensazione (resid. e semiresid.)";1628000.00;"30/10/2009";
"2008";"A02095";"A.2.A.1.3.D) Prestazioni di File F";105073000.00;"06/12/2011";
"2008";"A02100";"A.2.A.1.3.E) Altre prestazioni sanitarie soggette a compensazione Extraregione";142980000.00;"06/12/2011";
"2008";"A02105";"A.2.A.1.3.E.1) Prestazioni servizi MMG, PLS, Contin. assistenziale Extraregione";19670000.00;"06/12/2011";
"2008";"A02110";"A.2.A.1.3.E.2) Prestazioni servizi farmaceutica conv enzionata Extraregione";68341000.00;"06/12/2011";
"2008";"A02115";"A.2.A.1.3.E.3) Prestazioni termali Extraregione";27926000.00;"23/11/2009";
"2008";"A02120";"A.2.A.1.3.E.4) Prestazioni trasporto ambulanze ed elisoccorso Extraregione";10143000.00;"06/12/2011";
"2008";"A02125";"A.2.A.1.3.E.5) Altre prestazioni sanitarie  Extraregione";16900000.00;"15/02/2010";
"2008";"A02130";"A.2.A.1.3.F) Altre prestazioni sanitarie e sociosanitarie non soggette a compensazione Extraregione";22144000.00;"06/12/2011";
"2008";"A02135";"A.2.A.1.3.F.1) Prestazioni di assistenza riabilitativa non soggetta a compensazione Extraregione";253000.00;"07/08/2009";
"2008";"A02140";"A.2.A.1.3.F.2) Altre prestazioni sanitarie e socio-sanitarie non soggetta a compenzazione Extraregione";21891000.00;"06/12/2011";
"2008";"A02145";"A.2.A.1.3.G) Altre prestazioni sanitarie - Mobilita' attiva Internazionale";11998000.00;"07/08/2009";
"2008";"A02150";"A.2.A.2)  Ricavi per prestazioni sanitarie erogate da soggetti privati v/ residenti extraregione in compensazione (mobilita' attiva)";1015743000.00;"06/12/2011";
"2008";"A02155";"A.2.A.2.1)  Prestazioni di ricovero da priv. extraregione in compensazione (mobilita' attiva)";905749000.00;"06/12/2011";
"2008";"A02160";"A.2.A.2.2)  Prestazioni ambulatoriali da priv. extraregione in compensazione  (mobilita' attiva)";71400000.00;"06/12/2011";
"2008";"A02165";"A.2.A.2.3)  Prestazioni di File F da priv. extraregione in compensazione (mobilita' attiva)";20757000.00;"06/12/2011";
